- Destino, Partida (dia/mês/ano hora:minuto), Assento, Passagem (inteira, meia ou gratuita)

Sobral, 20/10/20 09:57, 22, meia
Sobral, 20/10/20 09:57, 15, gratuita
Sobral, 20/10/20 09:57, 53, inteira
Sobral, 20/10/20 09:57, 26, inteira
Sobral, 20/10/20 09:57, 7, inteira
Sobral, 20/10/20 09:57, 2, inteira
Sobral, 20/10/20 09:57, 43, inteira
Sobral, 21/10/20 09:57, 5, inteira
Sobral, 21/10/20 09:57, 78, gratuita
Sobral, 21/10/20 09:57, 51, meia
Sobral, 21/10/20 09:57, 32, inteira
Sobral, 21/10/20 09:57, 58, inteira
Sobral, 21/10/20 09:57, 36, inteira
Sobral, 21/10/20 09:57, 24, inteira
Sobral, 21/10/20 09:57, 50, inteira
Sobral, 21/10/20 09:57, 45, inteira
Sobral, 21/10/20 09:57, 17, gratuita
Sobral, 21/10/20 09:57, 25, meia
Sobral, 21/10/20 09:57, 67, inteira
Sobral, 21/10/20 09:57, 94, gratuita
Sobral, 21/10/20 09:57, 83, inteira
Sobral, 21/10/20 09:57, 48, meia
Sobral, 21/10/20 09:57, 75, inteira
Sobral, 22/10/20 09:57, 2, inteira
Sobral, 22/10/20 09:57, 31, gratuita
Sobral, 22/10/20 09:57, 89, meia
Sobral, 22/10/20 09:57, 30, gratuita
Sobral, 22/10/20 09:57, 10, inteira
Sobral, 22/10/20 09:57, 34, gratuita
Sobral, 22/10/20 09:57, 72, meia
Sobral, 22/10/20 09:57, 65, inteira
Sobral, 22/10/20 09:57, 39, meia
Sobral, 22/10/20 09:57, 84, inteira
Sobral, 22/10/20 09:57, 23, inteira
Sobral, 22/10/20 09:57, 22, gratuita
Sobral, 22/10/20 09:57, 85, inteira
Sobral, 22/10/20 09:57, 80, meia
Sobral, 22/10/20 09:57, 76, gratuita
Sobral, 22/10/20 09:57, 68, inteira
Sobral, 22/10/20 09:57, 7, inteira
Sobral, 22/10/20 09:57, 52, inteira
Sobral, 22/10/20 09:57, 3, gratuita
Sobral, 22/10/20 09:57, 42, inteira
Sobral, 22/10/20 09:57, 43, meia
Sobral, 22/10/20 09:57, 69, inteira
Sobral, 22/10/20 09:57, 26, meia
Sobral, 22/10/20 09:57, 93, meia
Sobral, 22/10/20 09:57, 60, meia
Sobral, 22/10/20 09:57, 18, meia
Sobral, 22/10/20 09:57, 46, inteira
Sobral, 22/10/20 09:57, 53, meia
Sobral, 22/10/20 09:57, 11, inteira
Sobral, 22/10/20 09:57, 35, gratuita
Sobral, 22/10/20 09:57, 61, meia
Sobral, 22/10/20 09:57, 49, gratuita
Sobral, 22/10/20 09:57, 47, inteira
Sobral, 22/10/20 09:57, 56, inteira
Sobral, 22/10/20 09:57, 38, meia
Sobral, 22/10/20 09:57, 77, inteira
Sobral, 22/10/20 09:57, 64, meia
